Level	Date and Time	Source	Event ID	Task Category
Error	16/12/2015 13:16:44	Service Control Manager	7031	None	The Contact Data_25298 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 13:16:44	Service Control Manager	7031	None	The Sync Host_25298 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 13:16:41	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	16/12/2015 13:16:39	User32	1074	None	"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-A5MB3PB) has initiated the power off of computer DESKTOP-A5MB3PB on behalf of user DESKTOP-A5MB3PB\Graeme for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information	16/12/2015 12:31:46	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Candy Crush Soda Saga
Information	16/12/2015 12:31:40	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Candy Crush Soda Saga
Information	16/12/2015 12:31:38	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\king.com.CandyCrushSodaSaga_kgqvnymyfvs32\king.com.CandyCrushSodaSaga_1.57.100.0_x86__kgqvnymyfvs32\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	16/12/2015 12:30:37	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Windows Camera
Information	16/12/2015 12:30:31	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Windows Camera
Information	16/12/2015 12:30:31	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Messaging + Skype
Information	16/12/2015 12:30:29	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.WindowsCamera_8wekyb3d8bbwe\Microsoft.WindowsCamera_2015.1211.10.0_x64__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	16/12/2015 12:30:20	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\Graeme\AppData\Local\Packages\Microsoft.Messaging_8wekyb3d8bbwe\Microsoft.Messaging_2.12.11012.0_x86__8wekyb3d8bbwe\ActivationStore\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information	16/12/2015 12:30:18	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: Messaging + Skype
Information	16/12/2015 12:28:09	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	16/12/2015 12:28:09	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	16/12/2015 12:28:09	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	16/12/2015 12:26:22	Lfsvc	1	None	Geolocation positioning is enabled.
Information	16/12/2015 12:22:56	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	16/12/2015 12:22:44	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) did not load: 
dam"
Information	16/12/2015 12:22:42	Microsoft-Windows-DHCPv6-Client	51046	Service State Event	DHCPv6 client service is started
Information	16/12/2015 12:22:42	Microsoft-Windows-Dhcp-Client	50036	Service State Event	DHCPv4 client service is started
Information	16/12/2015 12:22:41	Microsoft-Windows-Kernel-General	1	None	"The system time has changed to ‎2015‎-‎12‎-‎16T12:22:41.991000000Z from ‎2015‎-‎12‎-‎16T12:22:41.155394800Z.

Change Reason: An application or system component changed the time."
Information	16/12/2015 12:22:40	Microsoft-Windows-FilterManager	6	None	File System Filter 'storqosflt' (10.0, ‎2015‎-‎10‎-‎30T02:37:39.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 12:22:40	Microsoft-Windows-FilterManager	6	None	File System Filter 'luafv' (10.0, ‎2015‎-‎10‎-‎30T02:34:43.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 12:22:39	Microsoft-Windows-Wininit	14	None	Credential Guard (LsaIso.exe) configuration: 0x0, 0
Information	16/12/2015 12:22:38	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{6b1cc1df-0000-0000-0000-100000000000} (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information	16/12/2015 12:22:38	Microsoft-Windows-Hyper-V-Netvsc	11	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' restarted
Information	16/12/2015 12:22:38	Microsoft-Windows-Hyper-V-Netvsc	3	(1002)	The miniport 'Microsoft Hyper-V Network Adapter' was successfully initialized
Information	16/12/2015 12:22:38	Microsoft-Windows-Hyper-V-Netvsc	12	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' connected
Information	16/12/2015 12:22:38	Microsoft-Windows-Hyper-V-Netvsc	13	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' disconnected
Information	16/12/2015 12:22:38	Microsoft-Windows-Hyper-V-Netvsc	1	(1001)	The VM and host networking components successfully negotiated protocol version '6.1'
Information	16/12/2015 12:22:38	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 2295
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information	16/12/2015 12:22:38	Microsoft-Windows-FilterManager	6	None	File System Filter 'npsvctrig' (10.0, ‎2015‎-‎10‎-‎30T02:40:23.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 12:22:38	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileCrypt' (10.0, ‎2015‎-‎10‎-‎30T02:37:49.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 12:22:38	Microsoft-Windows-Ntfs	98	None	Volume C: (\Device\HarddiskVolume2) is healthy.  No action is needed.
Information	16/12/2015 12:22:37	Microsoft-Windows-FilterManager	6	None	File System Filter 'WdFilter' (10.0, ‎2015‎-‎10‎-‎30T02:34:35.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 12:22:37	Microsoft-Windows-FilterManager	6	None	File System Filter 'Wof' (10.0, ‎2015‎-‎10‎-‎30T02:38:16.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 12:22:37	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileInfo' (10.0, ‎2015‎-‎10‎-‎30T02:37:17.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 12:22:37	Microsoft-Windows-Kernel-Boot	32	None	The bootmgr spent 0 ms waiting for user input.
Information	16/12/2015 12:22:37	Microsoft-Windows-Kernel-Boot	18	None	There are 0x1 boot options on this system.
Information	16/12/2015 12:22:37	Microsoft-Windows-Kernel-Boot	25	None	The boot menu policy was 0x1.
Information	16/12/2015 12:22:37	Microsoft-Windows-Kernel-Boot	27	None	The boot type was 0x0.
Information	16/12/2015 12:22:37	Microsoft-Windows-Kernel-Boot	20	None	The last shutdown's success status was true. The last boot's success status was true.
Information	16/12/2015 12:22:37	Microsoft-Windows-Kernel-General	12	None	The operating system started at system time ‎2015‎-‎12‎-‎16T12:22:37.486333200Z.
Information	16/12/2015 10:35:19	Microsoft-Windows-Kernel-General	13	None	The operating system is shutting down at system time ‎2015‎-‎12‎-‎16T10:35:19.183559300Z.
Information	16/12/2015 10:35:15	Microsoft-Windows-Kernel-Power	109	(103)	"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information	16/12/2015 10:35:15	Microsoft-Windows-Kernel-Power	109	(103)	"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information	16/12/2015 12:22:40	EventLog	6013	None	The system uptime is 3 seconds.
Information	16/12/2015 12:22:40	EventLog	6005	None	The Event log service was started.
Information	16/12/2015 12:22:40	EventLog	6009	None	Microsoft (R) Windows (R) 10.00. 10586  Multiprocessor Free.
